0,1,2,3,4,5,6,7
1.9100013191381524,1.91010511248595,1.9100024841091945,1.9099299228194029,1.9099429050482497,1.9097950959891554,1.9099297895293972,1.9099940493622913
1.9582589745502148,1.9583436428758474,1.95825198849073,1.9581682894042851,1.9581825922183722,1.9580554661855185,1.9581862105269747,1.958241183369127
2.00745146009221,2.0075241747835793,2.0074428478453465,2.007355895841799,2.0073677890965937,2.007260764790039,2.007386163034574,2.007428831996208
2.0516671694277333,2.0517366825674346,2.0516634655634247,2.0515813487142056,2.051589533636858,2.0514953429891034,2.0516145956430045,2.0516490259847346
2.091713498555923,2.0917869633608075,2.0917194583589573,2.0916453528327215,2.09165068769638,2.091561065593667,2.0916733628669553,2.091708590562252
2.133497695883927,2.133578953633861,2.1335141056683056,2.133444497286691,2.133449384767603,2.133359527969347,2.1334648786431787,2.1335105206955824
2.1769143122297967,2.1770038476424007,2.176937169586682,2.176865547471814,2.176873039068469,2.1767819378572737,2.176882577563215,2.1769442738041778
2.2160338190479982,2.2161305740920283,2.2160579911838854,2.215979984903248,2.2159925763035666,2.21589994115459,2.2160008731900165,2.2160774579246354
2.2501685222458683,2.2502717944193225,2.2501926292678163,2.2501079438704203,2.250126910257067,2.25003078449626,2.2501385941278285,2.250222847080037
2.285071024816827,2.2851806648245723,2.285097873395922,2.285008627839709,2.2850347726974007,2.2849326764277555,2.285052238174358,2.285135564618444
2.3220403733084143,2.322155695065643,2.322073193113733,2.321981685344035,2.3220165168170563,2.32190803173761,2.3220386438846834,2.3221166932817665
2.3553238348035466,2.355442313060633,2.355362816824827,2.3552712194901733,2.3553165188675607,2.355203371407557,2.3553382729112906,2.3554126459525624
2.38265865199105,2.382775133939254,2.382700338118585,2.382611654490108,2.3826677185217133,2.3825513567885555,2.382682372933526,2.3827567363318223
2.4092444442155467,2.4093520022994728,2.4092834606029214,2.409201007912932,2.4092665381348897,2.4091469854701315,2.409270065245708,2.4093447318967316
2.4377607898024887,2.437853637242928,2.4377924843910073,2.4377167641476936,2.437791668809269,2.4376689310460713,2.4377853652218553,2.4378562854998163
2.46313710225365,2.4632135088301106,2.4631596685828994,2.4630854370025497,2.463173099356444,2.4630479835060757,2.4631617817500557,2.463225274726314
2.481854978519576,2.481917342401759,2.4818697167181702,2.481787387685913,2.481892334253886,2.4817656277849753,2.4818806167914906,2.4819386753044217
2.4983581160046127,2.4984102248638647,2.498367473474805,2.498268885798438,2.4983912598683533,2.498264579482128,2.4983825077478126,2.4984423953135617
2.5165660345740126,2.5166101371905194,2.5165710254586346,2.5164546978917333,2.5165875642725815,2.5164658795171704,2.5165856048610795,2.516653375624436
2.532402447082678,2.532437696773101,2.53240143180726,2.5322730715500263,2.532406166549511,2.5322963933762677,2.532415114055625,2.5324893820487318
2.541406395281429,2.5414289742012524,2.541395288812053,2.5412643138259945,2.5413908231816675,2.541295300969607,2.541411512881014,2.541483734372306
2.54724866822913,2.5472541110406386,2.5472215673096237,2.5470971255161574,2.547216843732217,2.547129618266085,2.547244559604952,2.5473056546854003
2.5551669019691636,2.555153361338905,2.5551173162021903,2.5550057198286926,2.5551225381301506,2.5550342841475575,2.5551495372855313,2.5551970561057185
2.562494943641151,2.562464160074111,2.562418509072441,2.562322133460605,2.562439828648678,2.5623456404792098,2.562459705755072,2.562499462762792
2.5639773494535554,2.563932220408944,2.563874582930656,2.563792264859765,2.5639128630776984,2.5638136233363134,2.563921931511368,2.563962685368216
2.56197066922789,2.561912192712914,2.5618464439596695,2.5617751707903142,2.5619002650170084,2.5617978836379067,2.561895940925233,2.561941951101388
2.5624484442726643,2.5623755537678723,2.5623084447874,2.5622451090983174,2.5623773913744716,2.562272015524374,2.562357577088917,2.562405770095323
2.564228768140036,2.564141037210457,2.564077471572987,2.564019705490105,2.5641620523709663,2.564054546205322,2.5641270754543783,2.564170470168174
2.5550688576454434,2.5549582177538945,2.554909619277081,2.5548600429623947,2.5550183041597863,2.5549193913098596,2.5549674855118223,2.5549898484528324
2.551308289364568,2.551189742558507,2.5511534338146977,2.5511091049166277,2.5512660164572285,2.5511748007473223,2.5512143824129936,2.5512293380255326
2.5504965105293693,2.5503719539425793,2.550349744268675,2.5503131286658314,2.5504623320727977,2.5503751908070345,2.5504109164229996,2.550421693328918
2.546727962472865,2.546600563425107,2.5465907167624566,2.5465648874954363,2.546703294368107,2.5466149479212246,2.5466523654552273,2.5466570197356355
2.538980959128892,2.5388547922821605,2.538852436087366,2.538840061328611,2.5389688657601965,2.5388751748764324,2.5389196639828824,2.538910689316213
2.539129188040891,2.5390030897317386,2.539000690181386,2.5389883022193245,2.5391171302726665,2.539023415831437,2.5390678822666612,2.5390588869645736
2.533143603673074,2.5330224296290687,2.533020878595509,2.5330232910366957,2.533147344670749,2.5330466017351974,2.5331009766776487,2.533070843885543
2.5306189906757375,2.530505193196175,2.5304978442137926,2.53051501351289,2.530639466210195,2.530533663548848,2.5305953978805715,2.5305431228161956
2.5260226096119855,2.5259168277540116,2.52589991648144,2.525930581567367,2.5260565440792835,2.5259516598994844,2.526012399798732,2.525945817671301
2.516957784359544,2.516859234490616,2.5168341137878603,2.516875238419499,2.51699809180968,2.516902175111087,2.5169511994072855,2.5168840750477015
2.508659008825589,2.508567382479335,2.508538834560905,2.508585931021726,2.5086978886202465,2.508617927155904,2.508647658167811,2.5085925135134155
2.50421217126227,2.5041284346301618,2.504100016099773,2.5041500826470315,2.5042449744735396,2.5041842331589192,2.5041943674893323,2.504154577068519
2.498797954850226,2.498721826992715,2.498693000475601,2.498747251534912,2.4988245177644206,2.498780807991456,2.498777995015929,2.4987460420637353
2.488691893349927,2.4886192320834373,2.488586337331038,2.4886487274769835,2.4887139738929185,2.488680201158597,2.488672842938592,2.4886377031051934
2.4781606731633925,2.478085570694731,2.4780444402786133,2.4781173339203257,2.4781785852046814,2.478147171540377,2.4781388808668168,2.4780954301979197
2.4713763255193752,2.471296648293375,2.4712447537704434,2.471326374285491,2.4713888473221433,2.4713575825744334,2.4713442793450637,2.471295546233841
2.4645159507214878,2.4644360770244726,2.4643737586091325,2.4644590816418805,2.4645231505026843,2.464496746788036,2.4644696805068924,2.4644217637833963
2.452860101393496,2.452787982492848,2.4527181718244297,2.4528016840606206,2.452865080819634,2.452850800892706,2.452803194031791,2.4527597494114666
2.439615757462911,2.4395580832156343,2.4394840797713946,2.439562679108235,2.4396231971673767,2.439625837576551,2.4395574608584853,2.439518892920692
2.429905700048347,2.4298659781115886,2.4297887533801976,2.4298635172964365,2.4299194951078666,2.429940247562025,2.4298560126293816,2.4298226373398237
2.421092377571012,2.421071581911667,2.42098935182653,2.4210651317867877,2.4211151982306682,2.421152047851473,2.421057365163387,2.4210318451517536
2.407521496988953,2.4075176125802247,2.407428266884949,2.407511393458084,2.4075552267323093,2.407601774758701,2.407500298534867,2.407486332981777
2.390856020151119,2.390862526145599,2.3907658834364547,2.390861605148242,2.3909008649814956,2.390946413892678,2.3908409206202212,2.3908402043047223
2.3766975995095483,2.3767047900055327,2.3766021719009705,2.376712973745409,2.376751150589307,2.376785529865367,2.3766786225662813,2.376689367139371
2.3638193025536345,2.3638185078972347,2.363711329122769,2.3638363558216677,2.3638774331005816,2.3638973377540276,2.3637909016636067,2.3638083719073526
2.346191983736817,2.346178299640415,2.346068339852027,2.3462040161750153,2.3462504028567515,2.346260688966887,2.346155872109817,2.3461738373309857
2.324077966653248,2.3240506341975307,2.32394128712937,2.324082584504929,2.3241336146026335,2.3241423751383117,2.324040562331055,2.3240529340665423
2.303434619546124,2.3033976123696056,2.303293773409604,2.3034352908331934,2.3034877149130515,2.3035007838622397,2.3034037838339465,2.303406097584105
2.284669592210705,2.2846310347068757,2.284537438895903,2.2846745202731276,2.284724499770296,2.284744263831932,2.284652667744659,2.2846434830330957
2.261754060490516,2.2617214946103474,2.2616414193391687,2.261771125174459,2.261816135182817,2.261843309256424,2.2617542181733397,2.261736380374784
2.233408194959737,2.2333826537391546,2.233318126689926,2.2334390169815013,2.2334788099213814,2.233513546827661,2.233420040539488,2.2334003853087157
2.20549361536699,2.2054685344371765,2.2054208757398737,2.205532502178799,2.2055687363641723,2.2056106946588705,2.205504534014974,2.2054903151240928
2.151847472307781,2.1517993426242805,2.151784050424295,2.151882766696027,2.151916005711738,2.1519742369152253,2.1518301708674126,2.1518295589352623
2.15199570121978,2.151947640073858,2.1519323045183145,2.15203100758674,2.1520642702242077,2.15212247787023,2.151978389151191,2.1519777565836224
2.118488978155333,2.118430231326059,2.1184269534752387,2.1185236026715972,2.1185532603332367,2.1186247434633794,2.1184613907468828,2.1184624570403026
2.0850491723032327,2.0849918597157475,2.0849968095799793,2.0850908230348306,2.085112866783352,2.0852025681300086,2.0850205620193702,2.0850234637635183
2.0553087825865655,2.0552677272958326,2.055277054615237,2.055363968844533,2.0553748742959526,2.055486666366955,2.055286570423532,2.0552950109850334
2.024699746061188,2.02468361599932,2.024693656721462,2.0247679956960285,2.0247666469956775,2.0249030864300823,2.0246854006633055,2.024701950648555
1.9893513850540039,1.9893582312973486,1.9893658197316548,1.9894245330863936,1.989412932525363,1.989575057025652,1.9893397879968349,1.9893622476721962
1.9536676398367008,1.9536887457085303,1.9536915843558205,1.9537350914417648,1.9537187332761796,1.9539043386335744,1.9536509398729398,1.9536742442737103
1.9224364192410979,1.922464038664913,1.9224610572679532,1.9224918994329652,1.9224791074387504,1.9226820194277512,1.922409869243087,1.9224320682628107
1.8922203891016096,1.8922520986986757,1.8922440388986481,1.8922651330062947,1.892263219047806,1.8924761685553375,1.8921853992082023,1.8922113328332575
1.8580674895842815,1.8581051171932244,1.8580948262368244,1.8581083847145228,1.85811896281074,1.858337294677421,1.858029656436521,1.8580680027294516
1.822928193672497,1.8229748704305284,1.8229661763165845,1.8229734132896374,1.822992502047748,1.8232144851268068,1.822893450461229,1.8229498278525373
1.792175313462384,1.7922335446590258,1.79222944950446,1.7922312277720698,1.7922541678255501,1.7924784093313377,1.7921484219904287,1.7922212239695432
