Fz,FC1,FC2,C3,Cz,C4,CPz,Pz,Inst
-6.087473347681591,-1.4802118059012224,-12.280145070735827,-11.937233357177046,-3.0545605164593543,19.839638812747815,-5.1565140310968705,-4.653422376234219,g
-7.770623712778698,-0.912778876108981,-10.89928337993167,-11.089025329403416,-1.0405350585719202,22.242781509960373,-3.545430607337616,-2.962171577042985,g
-9.130570567490258,-0.6805289923912035,-9.828066662292368,-10.377557748729588,0.3137648875278915,23.73503305811384,-2.575308704063652,-1.7457875862927132,g
-8.279879923187531,-0.7832786104502276,-8.911361436712491,-9.67334414751755,0.678259190787705,24.487934697894378,-2.060977193686438,-0.8992089067469549,g
-6.984600213553714,-0.709973724087399,-7.826028644345916,-8.656359306562223,0.3993661375838378,24.9107397336874,-1.62845057706066,-0.1299929053737637,g
-7.136358032794698,0.16264324457146842,-6.302904128592408,-7.051215061779638,0.40679102067076256,25.331762939851416,-1.0098013499034604,0.7787087380781019,g
-6.669675068887889,1.9465199307923176,-4.324505169605507,-4.847567382117772,1.2871105509531091,25.78006333912458,-0.24300216827764043,1.7610523001433052,g
-5.617633409962535,4.246560595339266,-2.105155667488444,-2.3334354195742657,2.742658662589599,26.06270207396982,0.40700896098415634,2.485968059039502,g
-4.123674253631727,6.669046010883861,0.09344095531365326,0.07195227767985646,4.118258814321623,26.027736542014527,0.7282903119626976,2.6083477163446416,g
-2.3540100891281748,9.02937693797324,2.1007220459847256,2.0483641585814327,5.062760865857576,25.73490647821127,0.7571619396525363,2.0489151101046352,g
-0.4249964099050391,11.167945880193251,3.855751160279906,3.518329843327458,5.4688301891645,25.417583931534587,0.7286956690540609,1.0695248436211575,g
3.3048548485833416,12.971864639802968,5.399850897156968,4.648217014223113,5.260984118501176,25.349625847827543,0.9071332206358713,0.1204326397343622,g
6.841142182110227,14.627377589661705,6.881064606914826,5.738234440062505,4.678124034215452,25.74419346085178,1.485805434077868,-0.36916492033342313,g
10.224606499851799,16.494081112965638,8.490759091379012,7.065505300862415,4.417337378531947,26.69565955986796,2.571794679574753,-0.11935647138072628,g
11.34430045075025,18.596472575923904,10.318563420387807,8.744393333995387,4.981449240488052,28.146913411998735,4.165282098746763,0.9472175052961166,g
11.957248589095844,20.485395924858537,12.250234040801548,8.834954554285018,6.0260677844208415,29.903870453888942,6.12634405374486,2.6918954337080203,g
11.960188436776267,21.68876405974289,14.00678504728487,8.708986048803391,6.747636091629661,31.69831273527821,8.197248467482307,3.061832267903868,g
11.372464050911166,22.061886224104136,15.285404524476442,8.304016962842125,6.78401537309694,33.25689844728077,8.367876979838334,3.39374907739384,g
12.166899853031484,21.653459270221084,15.915789802064376,9.225911443287822,6.391733032644905,34.36396144833068,9.87906696208818,3.71283740029876,g
12.346755579275673,20.570323580934986,15.975613626461495,9.668253804144017,5.9475156949486525,34.93849100641391,10.953612509299386,5.634142454857395,g
12.212563988468716,19.1379097458741,15.78988833846295,9.903330567668709,5.726375873313733,35.082879533271246,11.719349414531205,7.4681041410732165,g
12.0886031113472,17.87341095840004,15.745944157867367,10.208223618268242,6.004940384332222,35.01048405321713,12.402039634945229,9.264866334106447,g
12.145849877558419,17.027163018049592,16.01996974222761,10.673489387860693,6.823754384402584,34.87009613934166,13.149622502552162,9.230165046251063,g
10.260259203815714,16.342562881385756,16.470135973542348,11.163746630739933,7.653222526752822,34.639276042905934,13.916957001111015,8.826828848150736,g
10.278735255744257,15.498759378109142,16.823580709896724,9.681370178827137,7.828234070504718,34.206389626911694,12.83251053751421,7.956312527804393,g
10.29412972149743,14.60567188730054,16.96425046701387,9.704445671081647,7.417019295341895,33.537628502248204,11.417913468387008,6.600542741016412,g
10.30583286310419,14.020087039294078,17.02563142334855,9.723283817363184,7.204132803548866,32.73275879570276,9.76416213789788,6.638999128391225,g
10.317499336461939,13.848822568178331,17.233274970487628,9.748390550210555,7.6887947993662635,31.92733507447333,9.809618919831568,6.659058771367742,g
8.806637503965563,14.066628160433634,18.311004271121305,7.100549644929714,9.153952286144909,30.397436472855496,8.77657987251892,8.118547881747984,g
9.032723206881174,14.24510953867327,18.85613398966239,7.80175898039367,9.411685417192633,29.495586902814715,8.902514509922153,7.510572859362071,g
8.984963102324638,14.287097044647982,19.115687790822896,8.191367261860147,9.508923192147156,28.41626715463592,8.630624591860279,6.564133189269688,g
8.984963102324638,14.287097044647984,19.115687790822896,8.191367261860147,9.508923192147156,28.41626715463592,8.630624591860279,6.56413318926969,g
8.62450278397841,14.008973501985707,19.020912141549342,8.25113564778979,9.609719872506558,27.241413460620283,8.100390655853944,7.267720764819488,g
10.086522348456977,13.411863439721714,18.64251878561088,8.12418150425724,9.837845581877414,26.1320079498825,7.552870549256991,8.302333847224563,g
11.441685777416794,12.537170801619189,18.04461395827999,9.718570785086474,10.274774989958328,25.174768427833477,8.858336988615966,9.753065867613543,g
12.527862609347675,11.191712805528791,17.174092654337336,11.292022577372649,10.657785252507466,24.295302404522328,10.391625499279321,9.734017627329084,g
13.2813465643623,9.180914469608108,15.957618634480315,12.751166763176675,10.446632890633092,23.37851967393398,12.049123383903531,9.747544899487426,g
13.835779204333761,6.844296820401942,14.510375248546845,14.091008538451893,9.573217062231405,22.487279558116022,12.02158943490097,9.794347783729918,g
14.480309732229449,5.003325009466385,13.177356171238808,15.406666755188127,8.828016367912582,21.911175063031592,12.029053379270204,8.171025085949516,g
13.660986818106972,4.23824461334529,12.30972458385728,16.820194858508085,9.066287627595687,21.950594538825243,10.39208874751479,6.928619276825215,g
13.510834126925781,4.4361165844672374,11.987207519435506,16.696498864496753,10.213889170958051,22.63375276510183,9.260206090997029,6.10571018962507,g
13.740695178699028,5.097675248473225,11.937441628131825,16.747985432071932,11.43874329154196,23.620789528403648,8.450015929312107,5.493208232048248,g
13.820790807055397,5.799691106287366,11.691409417110815,16.528085940340848,12.106288795556654,24.36145807793855,8.944268130878758,6.013199077626257,g
13.312338909907595,6.275422694688673,10.84823088586324,15.624067974886042,12.140279532848641,24.390772900170365,8.204006112227166,5.346715113904457,g
12.134386969192377,6.39621085661514,9.300025444768766,13.92147512734186,11.625426236166199,23.584862535214384,6.094479353338978,3.3189758163998717,g
10.57182888691936,6.312445175433587,7.289706202003055,11.662219864513936,10.59709035615574,22.21675875466258,2.9861953287508203,1.9772321190236823,g
9.037986707055312,6.383736715603807,5.249069681572651,9.279101474361035,9.21982339871036,20.760933079164285,-0.46251116740460496,0.19158835117032064,g
7.8025319480185455,6.737441775634181,3.533913750840526,7.16214561129519,7.707262863830513,19.589575352608634,-1.8562390741217167,-1.5546158280493865,g
6.8942881734293495,7.056731678812689,2.2754448655843245,5.52220800637823,6.014785177988265,18.80223047249168,-2.4956343798420706,-2.7889523121098483,g
6.198505396682671,6.979737041769657,1.432019797158477,4.390229853385753,4.012757357957508,18.28610225731692,-2.243614955738549,-3.1800163092825304,g
5.604580493311397,6.510882791882315,0.9100297058513924,3.685261742487458,1.9874218950966642,17.87846205431444,-1.2407607249296446,-2.651931152495943,g
5.076977216692561,5.836809847142105,0.6152815639294029,3.28467898935043,0.51242364061805,17.466437103338443,0.13357901507834297,-1.4325879102162542,g
4.6421006071127335,4.961001603230648,0.4593813179242245,3.0773433955959084,-0.28779006870354956,17.00039893480639,0.04743924198839995,-1.2506379082649886,g
4.350651549179726,3.821480977572892,0.39866952225448304,3.0025236348637,-0.9133888824192355,16.48263763282828,0.3066301890966172,-0.547588641669336,g
4.255453131261116,2.627955012694505,0.475384723771902,3.0725991392393004,-1.766639313108899,15.9516870663543,0.7894687995370896,0.5282534525162305,g
4.401490677565139,1.7544696763918708,0.7819716683740736,3.3638907268855442,-2.6611670564737566,15.448584107778041,1.4276872690196245,1.976488961154662,g
4.79858881888134,1.336303414926736,1.3602688880687368,3.948179515801454,-3.253440221938079,14.976895294520475,2.1501574069501608,3.861583286018548,g
5.358169586020727,1.2186138291916104,2.116425568553701,4.7672701710268175,-3.562061389666174,14.47247226802941,2.7735820550069796,6.075134103782939,g
5.841834823095423,1.229219313095061,2.8038485541574043,5.542498519784184,-3.784982569131114,13.782222785889365,2.9573810514491723,8.160201044856265,g
5.930502486529343,1.236171206002433,3.1037845972054714,5.8599099672504735,-3.957314209515424,12.690046619911195,2.3148020251568604,9.42571879387189,g
5.452520140347609,1.0325542727550427,2.8244375817022287,5.450659730769447,-4.106904611888014,11.057668354542056,0.6671549867393463,9.332754869390465,g
4.615701469631948,0.5390148053526393,2.127170728444338,4.462924414860336,-4.420563159103532,9.032260130638566,-1.7117813087393352,7.871337870192595,g
3.994563424070902,0.15386990601268322,1.5490322117143756,3.4542054364807155,-4.8646097505994605,7.110245428742223,-4.093100217356496,5.621003642549622,g
4.203558150161674,0.551424167667592,1.6932154955616312,3.051393655904797,-4.884849472617009,5.90925055688836,-5.639117965281081,3.4153782447687226,g
5.488768410131068,1.9937484893361348,2.798785190744895,3.5312614000416787,-3.9074504331930546,5.793021856423335,-5.897990296550482,1.830674314915057,g
7.566774228270328,4.0609484572439385,4.573328190126181,4.654863628317974,-2.0126082680330066,6.668068092058093,-5.052382989864644,0.8719568546643799,g
9.82439058177754,6.117641887549091,6.422971404587936,5.871852656535177,0.21189014672940037,8.101514830514954,-3.7139462962184533,0.09809618239811417,g
11.695954571397355,7.778212226087115,7.837979066647738,6.710529709895406,2.2876557765530734,9.61396875739429,-2.4628476434659468,-0.9306550401342614,g
12.934110262725406,8.85608873717573,8.622936022185813,7.048149999185748,3.933599694388225,10.910739673677913,-1.52269140536548,-2.2711899736179095,g
